"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19502","qspider demo","chromium","Thu Jan 30 13:00:13 IST 2025","passed","Thu Jan 30 13:00:33 IST 2025","","qspider.spec.js","",""
"","10443","qspider demo","chromium","Thu Jan 30 13:08:35 IST 2025","passed","Thu Jan 30 13:08:46 IST 2025","","qspider.spec.js","",""
